name,slug,city,state,country,latitude,longitude,website,type,total_enrollment,undergraduate_enrollment,acceptance_rate,average_sat,average_act,tuition_in_state,tuition_out_state,room_and_board,books_supplies,graduation_rate,retention_rate,avg_net_price,percent_receiving_aid,student_faculty_ratio,pcip01,pcip03,pcip04,pcip05,pcip09,pcip10,pcip11,pcip12,pcip13,pcip14,pcip15,pcip16,pcip19,pcip22,pcip23,pcip24,pcip25,pcip26,pcip27,pcip29,pcip30,pcip31,pcip38,pcip39,pcip40,pcip41,pcip42,pcip43,pcip44,pcip45,pcip46,pcip47,pcip48,pcip49,pcip50,pcip51,pcip52,pcip54
Southern New Hampshire University,southern-new-hampshire-university,Manchester,NH,USA,43.038922,-71.451842,https://www.snhu.edu/,Private Non-Profit,156755,156755,96.12,,,16450,16450,12800,1500,44.87,59.89,,59.07,24.0,0.0,1.98,0.0,0.0,2.39,0.0,9.71,0.0,0.27,0.71,0.0,0.0,0.0,0.0,3.07,9.25,0.0,0.09,0.7,0.0,0.0,0.43,0.0,0.0,0.36,0.0,12.02,6.18,2.4,1.8,0.0,0.0,0.0,0.04,3.53,9.25,34.59,1.24
Western Governors University,western-governors-university,Salt Lake City,UT,USA,40.68481,-111.869752,https://www.wgu.edu/,Private Non-Profit,135822,135822,,,,8300,8300,,200,50.89,61.51,,42.61,42.0,0.0,0.0,0.0,0.0,0.0,0.0,19.61,0.0,18.6,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.48,24.23,0.0
Arizona State University Campus Immersion,arizona-state-university-campus-immersion,Tempe,AZ,USA,33.417721,-111.934383,https://www.asu.edu/,Public,64398,64398,90.19,,,12051,32193,16091,1320,67.85,85.32,13670,28.4,18.0,0.02,1.13,1.4,0.43,4.17,0.56,6.39,0.0,4.67,8.39,1.06,0.56,1.01,0.72,1.27,0.47,0.0,7.84,1.2,0.0,3.51,2.13,0.42,0.0,1.09,0.26,5.93,2.4,1.93,5.17,0.0,0.0,0.0,0.61,4.2,6.83,23.61,0.62
Texas A & M University-College Station,texas-a-m-university-college-station,College Station,TX,USA,30.618726,-96.336475,https://www.tamu.edu/,Public,59099,59099,63.25,1272,28,13099,40328,13154,900,83.78,94.25,20924,26.34,19.0,7.6,1.98,1.08,0.04,3.97,0.0,3.86,0.0,2.16,17.54,4.85,0.23,0.0,0.25,0.78,0.0,0.0,8.89,1.24,0.0,6.79,3.62,0.15,0.0,1.5,0.0,4.43,0.3,0.0,5.81,0.0,0.0,0.0,0.39,0.06,6.74,14.75,0.96
University of Central Florida,university-of-central-florida,Orlando,FL,USA,28.602159,-81.200889,https://www.ucf.edu/,Public,59095,59095,39.52,1277,28,6368,22467,12070,1000,75.15,92.16,10650,24.21,29.0,0.0,0.69,0.28,0.05,3.24,0.0,5.22,0.0,3.42,8.33,0.0,0.1,0.0,1.64,2.3,5.1,0.0,5.51,0.67,0.0,5.29,2.06,0.27,0.0,0.59,0.0,9.71,3.4,1.13,4.06,0.0,0.0,0.0,0.0,6.65,13.91,15.42,0.96
Liberty University,liberty-university,Lynchburg,VA,USA,37.350232,-79.18222,https://www.liberty.edu/,Private Non-Profit,50059,50059,99.32,,,21222,21222,12919,1599,63.48,78.79,,49.02,18.0,0.0,0.0,0.0,0.0,2.15,0.0,2.37,0.0,7.34,0.72,0.0,0.16,0.72,3.23,1.6,0.07,0.0,1.24,0.51,0.49,14.92,1.88,5.95,2.28,0.23,0.0,11.12,5.75,2.26,1.72,0.02,0.03,0.0,4.09,3.35,5.42,18.21,2.21
Arizona State University Digital Immersion,arizona-state-university-digital-immersion,Scottsdale,AZ,USA,33.463517,-111.924487,https://www.asu.edu/,Public,49000,49000,64.11,,,,,,,,,,37.15,25.0,0.0,1.0,1.14,0.17,8.77,0.0,3.27,0.0,1.86,3.56,0.44,0.7,3.38,0.51,3.3,3.73,0.0,6.73,0.03,0.0,2.74,0.41,0.92,0.0,0.24,0.92,10.59,2.92,1.48,8.74,0.0,0.0,0.0,0.0,2.53,12.41,15.97,1.55
University of Maryland Global Campus,university-of-maryland-global-campus,Adelphi,MD,USA,38.912706,-76.847584,https://www.umgc.edu/,Public,48238,48238,,,,7992,12336,,0,29.58,52.8,14514,17.57,20.0,0.0,0.73,0.0,0.46,1.41,0.59,28.73,0.0,0.0,0.0,0.0,0.62,0.0,1.09,0.91,21.55,0.0,0.24,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,5.91,3.84,0.63,2.32,0.0,0.0,0.0,0.0,0.0,3.85,23.9,1.32
Ohio State University-Main Campus,ohio-state-university-main-campus,Columbus,OH,USA,39.999803,-83.007525,https://www.osu.edu/,Public,44617,44617,50.82,1407,29,12859,38365,14272,1030,87.73,94.12,18292,30.42,18.0,2.7,1.7,0.95,0.16,4.88,0.0,1.28,0.0,3.2,15.23,0.12,1.28,2.61,0.0,1.07,0.07,0.0,9.27,2.34,0.0,0.46,1.47,0.34,0.0,1.56,0.0,5.34,0.0,2.36,8.23,0.0,0.0,0.0,0.76,2.06,10.18,19.48,0.89
The University of Texas at Austin,the-university-of-texas-at-austin,Austin,TX,USA,30.282825,-97.738273,https://www.utexas.edu/,Public,42100,42100,29.12,1380,30,11678,42778,14136,724,87.64,96.12,19678,27.06,18.0,0.0,0.0,0.37,0.71,8.57,0.0,6.43,0.0,0.03,11.24,0.0,3.39,1.58,0.0,1.9,3.15,0.0,9.06,3.46,0.0,12.83,2.13,0.41,0.0,1.9,0.0,4.03,1.25,0.8,7.08,0.0,0.0,0.0,0.0,3.26,4.61,10.97,0.83
Brigham Young University-Idaho,brigham-young-university-idaho,Rexburg,ID,USA,43.818408,-111.782431,https://www.byui.edu/,Private Non-Profit,42090,42090,96.95,1123,23,4656,4656,5068,550,55.08,69.63,,11.54,20.0,1.86,0.29,0.0,0.0,2.21,0.0,9.28,0.0,3.53,2.33,1.48,0.0,9.59,0.0,0.97,14.23,0.0,5.12,0.68,0.0,12.9,0.51,0.0,0.0,0.52,0.0,2.61,0.0,1.32,1.19,0.0,0.01,0.02,0.0,2.58,7.7,17.53,1.54
Pennsylvania State University-Main Campus,pennsylvania-state-university-main-campus,University Park,PA,USA,40.7965,-77.862848,https://www.psu.edu/,Public,41862,41862,54.22,1316,,20234,40188,13030,1840,85.68,91.95,32598,39.86,15.0,3.39,0.94,0.62,0.29,7.01,0.0,12.3,0.0,3.22,13.85,0.02,0.94,0.69,0.02,0.64,0.26,0.0,6.1,2.0,0.0,3.39,2.48,0.4,0.0,2.91,0.19,3.87,2.32,0.0,6.68,0.0,0.0,0.0,0.0,2.08,4.18,18.75,0.45
University of Arizona,university-of-arizona,Tucson,AZ,USA,32.232672,-110.950815,https://www.arizona.edu/,Public,40769,40769,85.66,1261,25,13626,41095,14400,800,65.89,87.67,15960,26.95,19.0,2.39,1.69,1.59,0.64,3.8,0.0,5.58,0.0,3.18,6.54,0.28,1.86,1.39,1.96,1.36,0.59,0.0,9.62,1.45,3.72,6.39,0.36,0.35,0.0,2.18,0.53,7.42,1.9,0.51,5.16,0.0,0.0,0.0,0.0,3.34,8.81,14.59,0.81
Michigan State University,michigan-state-university,East Lansing,MI,USA,42.73212,-84.476111,https://www.msu.edu/,Public,40243,40243,83.92,1261,26,15988,43372,11754,1334,82.17,91.4,20751,33.39,17.0,4.37,2.25,0.0,0.03,9.81,0.0,4.51,0.0,2.58,9.33,2.19,0.6,0.84,1.18,0.9,0.41,0.0,13.43,1.45,0.0,2.41,3.43,0.11,0.0,1.81,0.0,4.67,2.19,0.78,8.08,0.12,0.0,0.0,0.0,2.73,3.49,15.75,0.54
Purdue University-Main Campus,purdue-university-main-campus,West Lafayette,IN,USA,40.428206,-86.914435,https://www.purdue.edu/,Public,39637,39637,50.3,1342,30,9992,28794,11650,1030,83.1,92.03,13945,23.21,14.0,5.02,1.11,0.19,0.18,1.28,0.0,10.93,0.0,2.87,23.54,6.73,0.65,0.89,0.0,0.96,0.61,0.0,6.07,3.01,0.0,3.06,0.04,0.35,0.0,1.67,0.0,3.33,0.0,0.0,4.32,0.0,0.0,0.0,1.46,1.33,4.72,15.27,0.44
Kennesaw State University,kennesaw-state-university,Kennesaw,GA,USA,34.038807,-84.583052,https://www.kennesaw.edu/,Public,39503,39503,69.18,1120,23,5786,17040,13027,1500,48.06,78.74,16972,35.07,23.0,0.0,0.35,1.05,0.25,5.3,0.0,9.87,0.0,4.65,13.71,4.25,0.52,0.03,0.0,0.98,0.0,0.0,4.43,0.55,0.0,2.57,3.98,0.1,0.0,0.95,0.0,7.72,4.8,1.1,4.37,0.0,0.0,0.0,0.0,4.05,6.7,17.08,0.65
Florida International University,florida-international-university,Miami,FL,USA,25.75732,-80.373928,https://www.fiu.edu/,Public,38761,38761,58.84,1154,24,6565,18963,12156,1350,73.87,91.61,9133,17.78,24.0,0.0,0.24,0.0,0.33,5.33,0.0,6.17,0.0,3.75,6.54,0.86,0.68,0.0,0.0,1.72,3.52,0.0,8.46,0.34,0.0,4.83,1.09,0.33,0.0,0.95,0.0,13.4,4.95,1.48,5.93,0.0,0.0,0.0,0.0,1.86,4.73,21.92,0.6
University of Houston,university-of-houston,Houston,TX,USA,29.720393,-95.343537,https://www.uh.edu/,Public,37175,37175,69.53,1229,26,9711,22191,10830,1556,64.92,86.44,13853,31.9,21.0,0.0,0.15,1.5,0.12,4.31,0.0,8.31,0.0,0.0,7.03,3.93,0.31,3.5,0.0,1.47,0.52,0.0,6.22,1.55,0.0,3.35,4.59,0.22,0.0,0.92,0.0,8.64,0.0,0.0,5.9,0.0,0.0,0.0,0.0,3.22,5.78,27.54,0.91
California State University-Fullerton,california-state-university-fullerton,Fullerton,CA,USA,33.881506,-117.885446,https://www.fullerton.edu/,Public,36956,36956,86.74,,,7073,18953,18348,965,69.22,84.99,5646,22.06,22.0,0.0,0.0,0.0,0.32,8.69,0.0,4.07,0.0,4.37,3.59,0.0,0.72,0.0,0.0,1.51,1.56,0.0,3.01,0.56,0.0,0.0,5.97,0.19,0.0,0.62,0.0,10.84,3.65,3.12,6.55,0.0,0.0,0.0,0.0,6.55,9.41,23.43,1.27
Indiana University-Bloomington,indiana-university-bloomington,Bloomington,IN,USA,39.16609,-86.526559,https://www.indiana.edu/,Public,36571,36571,80.37,1308,29,11790,40482,13380,690,81.17,90.55,15342,27.48,18.0,0.0,1.06,0.39,0.24,6.73,0.35,6.32,0.0,3.7,0.4,0.01,1.21,1.01,0.0,0.56,2.49,0.0,8.98,0.68,0.17,0.39,6.56,0.21,0.0,1.16,0.0,4.39,1.14,5.59,4.39,0.0,0.0,0.0,0.0,4.63,3.21,33.54,0.49
Rutgers University-New Brunswick,rutgers-university-new-brunswick,New Brunswick,NJ,USA,40.498769,-74.446251,https://newbrunswick.rutgers.edu/,Public,36357,36357,65.35,1383,30,17239,36001,14715,1391,85.01,92.63,23519,36.79,15.0,1.47,1.11,0.63,0.26,4.56,0.0,11.48,0.0,0.0,11.04,0.0,0.92,0.0,0.0,1.09,0.0,0.0,8.98,1.74,0.0,0.8,3.67,0.48,0.0,1.22,0.0,6.67,1.9,1.08,6.81,0.0,0.0,0.0,0.0,2.72,9.87,20.41,1.08
University of South Florida,university-of-south-florida,Tampa,FL,USA,28.061458,-82.413232,https://www.usf.edu/,Public,36299,36299,40.96,1235,27,6410,17324,13595,770,74.58,91.44,10043,24.71,22.0,0.0,1.34,0.0,0.07,4.9,0.0,4.71,0.0,2.42,5.67,0.0,0.62,0.0,0.0,1.78,3.97,0.0,12.68,0.75,0.0,0.19,0.0,0.23,0.0,1.2,0.0,8.76,0.0,1.6,10.39,0.0,0.0,0.0,0.0,1.76,19.02,16.6,1.33
University of Wisconsin-Madison,university-of-wisconsin-madison,Madison,WI,USA,43.075409,-89.404098,https://www.wisc.edu/,Public,35665,35665,43.35,1402,29,11205,40603,13500,1100,89.33,94.53,16928,21.7,18.0,1.66,3.14,0.19,5.34,6.46,0.0,6.52,0.0,2.27,8.21,0.0,2.47,1.84,0.68,0.67,0.62,0.0,9.27,2.61,0.0,5.02,1.38,0.53,0.0,1.31,0.0,3.52,0.0,1.83,8.85,0.0,0.0,0.0,0.0,3.15,6.14,15.04,1.26
University of Illinois Urbana-Champaign,university-of-illinois-urbana-champaign,Champaign,IL,USA,40.104718,-88.229114,https://www.illinois.edu/,Public,34623,34623,43.69,1418,32,16004,34501,13938,1200,84.89,94.32,15201,28.97,20.0,6.26,0.97,1.03,0.29,6.07,0.0,6.87,0.0,2.05,21.43,0.05,0.45,1.19,0.0,1.24,0.0,0.0,5.42,4.89,0.0,3.27,3.03,0.14,0.0,2.5,0.0,6.26,0.0,1.03,6.99,0.0,0.0,0.0,0.0,2.56,4.57,10.43,1.0
Texas State University,texas-state-university,San Marcos,TX,USA,29.888885,-97.943029,https://www.txst.edu/,Public,34547,34547,89.48,1093,22,11450,23210,12270,740,56.17,77.51,16438,42.59,21.0,2.12,0.92,0.16,0.0,9.81,0.11,4.36,0.0,4.5,2.16,2.23,0.51,2.14,0.0,2.33,2.07,0.0,5.04,0.77,0.0,3.34,6.56,0.28,0.0,0.54,0.0,7.13,4.88,2.16,4.62,0.0,0.0,0.0,0.0,6.53,7.11,16.07,1.53
California State University-Long Beach,california-state-university-long-beach,Long Beach,CA,USA,33.782818,-118.11204,https://www.csulb.edu/,Public,34131,34131,47.12,,,7008,18888,15612,1490,69.86,85.3,8931,24.14,19.0,0.0,0.6,0.0,1.31,5.39,0.0,3.54,0.0,0.0,8.49,0.86,1.14,5.5,0.0,3.0,3.48,0.0,4.93,1.2,0.0,1.01,3.59,0.45,0.0,0.98,0.0,6.89,3.31,0.8,7.78,0.0,0.0,0.0,0.0,11.32,7.0,15.9,1.52
University of Florida,university-of-florida,Gainesville,FL,USA,29.64629,-82.347911,https://www.ufl.edu/,Public,34102,34102,24.03,1397,31,6381,28659,11500,1050,91.51,97.09,6351,11.92,16.0,2.97,1.4,0.98,0.37,6.91,0.0,4.05,0.0,2.23,12.85,0.99,1.65,0.69,0.0,1.52,1.09,0.0,10.72,1.74,0.0,3.49,2.16,0.45,0.0,2.34,0.0,5.9,0.38,0.0,10.91,0.0,0.0,0.0,0.0,3.79,7.08,12.42,0.91
University of California-San Diego,university-of-california-san-diego,La Jolla,CA,USA,32.877749,-117.235866,https://www.ucsd.edu/,Public,33787,33787,24.52,,,15265,46042,17198,1307,87.63,93.92,11750,24.12,19.0,0.0,0.86,0.6,0.36,2.47,0.0,8.39,0.0,0.66,10.95,0.0,0.16,0.57,0.0,1.02,0.02,0.0,19.09,4.5,0.0,17.09,0.0,0.42,0.0,3.75,0.0,8.49,0.0,0.0,11.03,0.0,0.0,0.0,0.0,2.3,3.56,3.0,0.7
University of North Texas,university-of-north-texas,Denton,TX,USA,33.211178,-97.148422,https://www.unt.edu/,Public,33680,33680,72.46,1109,23,11164,21244,10805,1120,59.57,76.96,14352,39.1,23.0,0.0,0.0,0.25,0.03,7.09,0.0,5.53,0.0,4.36,3.38,1.41,1.03,0.65,0.0,1.76,5.27,0.0,6.28,0.72,0.0,8.65,4.2,0.3,0.0,0.61,0.0,8.3,3.99,0.96,3.51,0.0,0.0,0.0,0.31,8.48,2.34,18.92,1.67
San Diego State University,san-diego-state-university,San Diego,CA,USA,32.77525,-117.071228,https://www.sdsu.edu/,Public,33654,33654,34.44,,,8290,20170,21630,908,78.27,90.32,16174,23.14,22.0,0.0,1.16,0.0,0.47,6.42,0.0,2.4,0.0,1.62,9.03,0.19,0.92,0.0,0.0,1.31,2.66,0.0,3.55,1.21,0.0,4.14,4.34,0.39,0.0,1.5,0.0,7.38,4.71,2.07,8.19,0.0,0.0,0.0,0.0,4.05,6.1,25.28,0.94
University of Michigan-Ann Arbor,university-of-michigan-ann-arbor,Ann Arbor,MI,USA,42.278374,-83.73481,https://umich.edu/,Public,33488,33488,17.94,1473,,17228,58072,13856,1126,93.22,97.64,14832,21.01,11.0,0.0,1.36,0.84,0.79,2.3,0.0,15.75,0.0,0.86,13.6,0.1,1.33,0.0,0.0,1.39,0.64,0.0,9.15,2.89,0.0,4.58,3.43,0.23,0.0,2.14,0.0,8.34,0.0,0.95,10.72,0.0,0.0,0.0,0.0,5.15,4.38,8.08,1.03
University of California-Berkeley,university-of-california-berkeley,Berkeley,CA,USA,37.871918,-122.260463,https://www.berkeley.edu/,Public,33073,33073,11.66,,,14850,45627,22692,1273,92.89,96.75,14979,18.23,18.0,0.0,4.92,1.55,1.35,2.45,0.0,15.13,0.0,0.0,12.24,0.0,1.44,0.0,1.95,2.78,0.0,0.0,9.98,3.79,0.0,5.01,0.0,0.95,0.0,3.31,0.0,3.49,0.0,0.79,18.29,0.0,0.0,0.0,0.0,2.94,2.01,4.64,0.98
University of California-Los Angeles,university-of-california-los-angeles,Los Angeles,CA,USA,34.07178,-118.442179,https://www.ucla.edu/,Public,33040,33040,8.73,,,13747,44524,17148,1574,92.66,96.76,14013,20.69,18.0,0.0,1.14,0.19,1.86,2.11,0.0,3.7,0.0,1.08,7.69,0.0,2.17,0.0,0.0,2.55,0.01,0.0,15.5,8.15,0.0,5.8,0.0,1.14,0.0,2.23,0.0,11.58,0.0,1.21,24.26,0.0,0.0,0.0,0.0,4.41,0.53,0.26,2.42
Texas Tech University,texas-tech-university,Lubbock,TX,USA,33.583448,-101.874783,https://www.ttu.edu/,Public,32446,32446,70.89,1182,26,11852,24451,10460,1200,67.47,84.87,20071,43.48,21.0,5.8,1.25,2.12,0.0,9.17,0.0,3.44,0.0,3.97,9.64,0.62,0.81,7.96,0.0,1.06,3.17,0.0,9.25,0.73,0.0,3.66,1.35,0.19,0.0,0.85,0.0,5.15,0.0,0.29,3.73,0.0,0.0,0.0,0.0,2.75,0.42,21.65,0.94
California State University-Northridge,california-state-university-northridge,Northridge,CA,USA,34.240126,-118.529319,https://www.csun.edu/,Public,32357,32357,93.15,,,7095,18975,12648,1284,56.18,74.4,7599,22.63,21.0,0.0,0.0,0.0,1.77,9.3,0.0,4.31,0.0,3.86,4.24,0.33,0.74,1.47,0.0,1.92,2.97,0.0,3.56,0.68,0.0,0.25,4.66,0.27,0.0,0.68,0.0,11.48,5.12,0.28,9.21,0.0,0.0,0.0,0.0,5.48,7.83,18.47,1.13
The University of Alabama,the-university-of-alabama,Tuscaloosa,AL,USA,33.211875,-87.545978,https://www.ua.edu/,Public,32323,32323,75.82,1287,26,11900,33200,14840,800,73.69,86.09,22150,33.58,19.0,0.0,0.38,0.0,0.09,9.42,0.0,1.44,0.0,2.72,9.66,0.0,0.45,6.96,0.0,0.97,0.0,0.0,3.89,0.89,0.0,1.72,2.86,0.18,0.0,1.06,0.0,5.13,0.0,1.09,7.99,0.0,0.0,0.0,0.0,2.17,9.66,30.11,1.17
Brigham Young University,brigham-young-university,Provo,UT,USA,40.250851,-111.649281,https://byu.edu/,Private Non-Profit,32221,32221,69.19,1376,29,6496,6496,9720,1040,82.21,89.05,,11.63,21.0,1.24,0.0,0.14,0.62,5.86,0.33,7.17,0.0,6.01,8.03,0.0,2.86,4.2,0.0,1.48,0.42,0.0,12.67,3.28,0.12,0.33,3.81,0.33,0.0,1.18,0.0,5.05,0.0,0.0,7.14,0.0,0.0,0.0,0.0,4.75,7.32,14.13,1.54
Florida State University,florida-state-university,Tallahassee,FL,USA,30.443147,-84.295064,https://www.fsu.edu/,Public,31812,31812,25.38,1323,28,5656,18786,12740,1000,82.99,95.64,10997,21.91,17.0,0.0,1.47,0.0,0.1,3.15,0.0,3.97,0.0,1.81,3.85,0.0,0.48,3.22,0.0,2.65,2.55,0.0,7.8,1.1,0.0,0.04,1.92,0.36,0.0,0.94,0.0,8.23,6.02,0.8,12.68,0.0,0.0,0.0,0.0,4.01,7.52,24.55,0.77
University of California-Davis,university-of-california-davis,Davis,CA,USA,38.539667,-121.749567,https://ucdavis.edu/,Public,31777,31777,41.63,,,15247,46024,19068,1381,85.07,93.37,15288,23.22,21.0,5.58,3.95,0.0,1.28,2.89,0.0,4.71,0.0,0.16,8.95,0.0,1.39,4.04,0.0,1.7,0.0,0.0,18.31,3.67,0.0,3.42,0.0,0.77,0.0,2.09,0.0,10.46,0.0,0.52,13.82,0.0,0.0,0.0,0.0,4.39,0.68,6.01,1.22
University of Washington-Seattle Campus,university-of-washington-seattle-campus,Seattle,WA,USA,47.65538,-122.30514,https://www.washington.edu/,Public,31588,31588,42.53,,,12643,41997,17982,900,83.7,94.9,13485,15.79,20.0,0.0,2.48,2.37,2.11,3.65,0.0,11.52,0.0,2.8,10.14,0.0,1.61,0.0,1.1,1.39,0.08,0.0,11.18,4.35,0.0,3.83,0.0,0.74,0.0,3.52,0.0,5.18,0.0,0.6,11.11,0.0,0.0,0.0,0.0,3.44,6.57,8.66,1.57
University of Colorado Boulder,university-of-colorado-boulder,Boulder,CO,USA,40.008781,-105.270823,https://www.colorado.edu/,Public,31578,31578,83.28,1353,28,16430,41943,16950,1200,75.03,89.17,21480,24.36,19.0,0.0,2.79,1.85,0.47,10.51,0.0,7.41,0.0,1.16,12.42,0.96,0.88,0.0,0.0,1.34,0.4,0.0,11.84,1.85,0.0,2.14,0.0,0.62,0.0,3.1,0.0,7.52,0.0,0.2,10.04,0.0,0.0,0.0,0.0,3.33,0.8,17.24,1.12
University of Georgia,university-of-georgia,Athens,GA,USA,33.956262,-83.374039,https://www.uga.edu/,Public,31310,31310,37.2,1301,31,11180,30220,11246,1002,87.16,94.54,13816,21.65,17.0,2.48,0.9,0.45,0.39,9.24,0.0,3.22,0.0,2.39,4.65,0.0,1.37,2.93,1.69,1.15,0.07,0.0,8.97,1.01,0.0,4.42,2.62,0.55,0.0,0.84,0.0,5.98,1.01,0.5,7.94,0.0,0.0,0.0,0.0,3.26,3.12,28.08,0.79
The University of Texas at Arlington,the-university-of-texas-at-arlington,Arlington,TX,USA,32.729718,-97.11296,https://www.uta.edu/,Public,30834,30834,81.29,1116,23,11728,29660,10582,1150,56.52,72.88,15235,32.81,23.0,0.0,0.21,1.28,0.0,3.89,0.0,4.95,0.0,1.83,8.06,0.0,1.21,0.0,0.0,0.88,2.99,0.0,3.99,0.51,0.0,0.49,2.25,0.31,0.0,0.81,0.0,2.95,1.89,2.45,1.45,0.0,0.0,0.0,0.0,3.41,38.66,14.45,1.08
University of Minnesota-Twin Cities,university-of-minnesota-twin-cities,Minneapolis,MN,USA,44.972851,-93.235464,https://twin-cities.umn.edu/,Public,30469,30469,77.03,1359,30,16488,36402,13028,1000,84.82,90.86,17139,29.06,16.0,2.31,2.09,1.43,0.17,3.94,0.0,10.07,0.45,5.32,10.03,0.0,1.51,0.91,0.0,3.07,0.01,0.0,11.9,2.58,0.0,2.56,1.1,0.27,0.0,1.74,0.0,7.76,0.0,0.0,9.48,0.0,0.0,0.0,0.0,3.14,4.48,12.68,1.02
Virginia Polytechnic Institute and State University,virginia-polytechnic-institute-and-state-university,Blacksburg,VA,USA,37.229012,-80.423675,https://www.vt.edu/,Public,30435,30435,57.03,1337,29,15478,36694,14888,2620,86.28,91.79,23790,34.26,17.0,3.69,2.48,1.86,0.0,2.79,0.0,6.51,0.0,0.0,21.97,0.21,0.64,6.9,0.0,0.71,0.0,0.0,8.14,1.15,0.0,2.14,0.0,0.71,0.0,2.12,0.0,3.06,0.0,0.66,8.41,0.0,0.0,0.0,0.0,2.27,1.33,21.75,0.53
University of Maryland-College Park,university-of-maryland-college-park,College Park,MD,USA,38.988178,-76.944721,https://www.umd.edu/,Public,30246,30246,44.84,1463,32,11505,40306,15416,1250,88.62,95.66,15590,22.69,18.0,2.2,0.47,1.62,0.48,4.23,0.0,17.62,0.0,1.6,12.47,0.0,1.24,0.98,0.0,1.17,0.0,0.0,8.6,1.91,0.0,0.34,2.33,0.54,0.0,1.62,0.0,5.62,0.0,1.24,12.16,0.0,0.0,0.0,0.0,1.96,5.91,12.84,0.84
The University of Texas at San Antonio,the-university-of-texas-at-san-antonio,San Antonio,TX,USA,29.583709,-98.620657,https://www.utsa.edu/,Public,29675,29675,88.46,1102,22,8991,21965,11843,1000,51.19,79.4,11234,42.57,25.0,0.0,1.22,2.26,0.2,3.84,0.0,12.02,0.0,4.86,7.39,0.0,0.89,0.02,1.29,1.56,2.68,0.0,6.97,1.02,0.0,0.4,6.4,0.12,0.0,1.14,0.0,8.85,3.32,0.6,4.12,1.27,0.0,0.0,0.0,1.86,6.2,18.29,1.17
Oregon State University,oregon-state-university,Corvallis,OR,USA,44.56395,-123.274723,https://oregonstate.edu/,Public,29557,29557,78.85,,25,13494,35664,15075,600,70.63,87.47,19568,33.39,20.0,4.7,6.69,0.0,0.27,1.73,0.0,15.64,0.0,1.01,15.43,0.0,0.6,3.48,0.0,0.63,0.74,0.0,7.46,1.06,0.0,1.94,4.34,0.34,0.0,1.35,0.0,5.79,0.0,0.17,5.47,0.0,0.0,0.0,0.0,2.23,4.47,13.44,1.01
University of California-Irvine,university-of-california-irvine,Irvine,CA,USA,33.648434,-117.841248,https://www.uci.edu/,Public,29494,29494,25.57,,,14237,45014,18423,1550,85.95,93.79,12840,21.81,18.0,0.0,0.73,0.0,0.56,0.33,0.0,7.11,0.0,3.4,12.08,0.0,0.52,0.0,0.0,1.68,0.0,0.0,10.89,2.95,0.0,3.92,0.0,0.4,0.0,2.61,0.0,12.65,0.0,0.0,15.75,0.0,0.0,0.0,0.0,5.25,6.58,11.84,0.75
New York University,new-york-university,New York,NY,USA,40.729452,-73.997264,https://www.nyu.edu/,Private Non-Profit,29430,29430,9.41,1527,34,60438,60438,22786,1494,88.46,95.5,,21.71,8.0,0.0,0.0,0.0,0.32,5.34,0.1,8.29,0.0,1.2,3.92,0.99,0.39,0.0,0.0,1.14,7.85,0.0,3.45,5.75,0.0,1.73,0.0,0.79,0.0,1.18,0.0,6.18,0.0,0.45,13.38,0.0,0.0,0.0,0.0,16.35,8.16,12.25,0.76
Louisiana State University and Agricultural & Mechanical College,louisiana-state-university-and-agricultural-mechanical-college,Baton Rouge,LA,USA,30.414986,-91.178921,https://www.lsu.edu/,Public,29207,29207,74.0,1248,26,11954,28631,14296,1084,70.96,84.01,20015,29.56,20.0,3.08,1.36,2.11,0.02,6.44,0.0,3.04,0.0,9.19,10.51,0.0,0.64,1.63,0.0,1.38,0.1,0.0,9.54,0.5,0.0,4.23,3.28,0.27,0.0,1.78,0.0,4.52,0.0,0.66,7.44,0.0,0.0,0.0,0.0,3.99,1.67,21.44,1.16
University of Cincinnati-Main Campus,university-of-cincinnati-main-campus,Cincinnati,OH,USA,39.131159,-84.51428,https://www.uc.edu/,Public,29094,29094,87.67,1281,27,13570,30582,13048,1300,71.55,85.74,23156,38.84,19.0,0.26,0.87,1.45,0.35,5.27,0.0,6.86,0.0,5.15,11.05,0.34,0.87,0.16,1.3,1.27,0.35,0.0,5.23,0.49,0.0,3.57,1.76,0.16,0.0,1.1,0.0,4.37,3.52,1.28,2.81,0.0,0.0,0.0,0.0,5.84,15.16,18.88,0.3
The University of Tennessee-Knoxville,the-university-of-tennessee-knoxville,Knoxville,TN,USA,35.952082,-83.925852,https://www.utk.edu/,Public,28763,28763,45.99,1304,28,13484,31974,12500,1598,73.5,91.08,18109,30.09,18.0,3.78,1.24,1.83,0.05,6.28,0.0,2.58,0.0,0.5,11.23,0.0,0.66,2.22,0.0,1.45,0.0,0.0,6.69,0.7,0.0,1.78,5.61,0.27,0.0,1.63,0.0,5.95,0.0,1.69,6.62,0.0,0.0,0.0,0.0,2.15,5.99,28.05,1.04
