name,slug,city,state,country,latitude,longitude,website,type,total_enrollment,undergraduate_enrollment,acceptance_rate,average_sat,average_act,tuition_in_state,tuition_out_state,room_and_board,books_supplies,graduation_rate,retention_rate,avg_net_price,percent_receiving_aid,student_faculty_ratio,pcip01,pcip03,pcip04,pcip05,pcip09,pcip10,pcip11,pcip12,pcip13,pcip14,pcip15,pcip16,pcip19,pcip22,pcip23,pcip24,pcip25,pcip26,pcip27,pcip29,pcip30,pcip31,pcip38,pcip39,pcip40,pcip41,pcip42,pcip43,pcip44,pcip45,pcip46,pcip47,pcip48,pcip49,pcip50,pcip51,pcip52,pcip54
Texas Tech University Health Sciences Center,texas-tech-university-health-sciences-center,Lubbock,TX,USA,33.589284,-101.891915,https://www.ttuhsc.edu/,Public,1374,1374,,,,,,,,,,,51.52,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Carson-Newman University,carson-newman-university,Jefferson City,TN,USA,36.122934,-83.491709,https://www.cn.edu/,Private Non-Profit,1374,1374,68.27,1111,22,34700,34700,10507,1600,46.45,73.58,,52.4,12.0,0.0,0.0,0.0,0.0,1.23,0.0,0.74,0.0,9.56,0.0,0.0,0.25,2.21,0.0,1.23,9.31,0.0,7.11,0.98,0.0,0.98,12.25,2.7,0.49,2.45,0.0,8.09,0.0,1.96,3.19,0.0,0.0,0.0,0.0,5.88,12.99,15.44,0.98
Belhaven University,belhaven-university,Jackson,MS,USA,32.318415,-90.169228,https://www.belhaven.edu/,Private Non-Profit,1370,1370,53.25,1050,22,29195,29195,9400,650,51.13,68.87,,65.36,13.0,0.0,0.0,0.0,0.0,0.48,0.0,2.17,0.0,3.14,0.0,0.0,0.0,0.0,0.0,2.66,0.97,0.0,2.9,0.48,0.0,2.66,9.66,0.0,4.35,0.97,0.0,9.18,0.48,2.42,1.93,0.0,0.0,0.0,0.0,9.66,12.08,32.61,1.21
Asbury University,asbury-university,Wilmore,KY,USA,37.862029,-84.662606,https://www.asbury.edu/,Private Non-Profit,1369,1369,64.06,,,33640,33640,9616,1462,65.0,84.27,,42.84,12.0,7.14,0.0,0.0,0.0,18.05,0.0,0.0,0.0,10.53,0.75,0.0,0.75,0.0,0.0,2.63,0.38,0.0,4.51,0.75,0.0,0.0,8.27,0.0,5.26,0.0,0.0,3.76,0.0,5.64,3.38,0.0,0.0,0.0,0.0,4.89,1.13,21.8,0.38
Drury University,drury-university,Springfield,MO,USA,37.219681,-93.286192,https://www.drury.edu/,Private Non-Profit,1367,1367,58.87,1212,27,35235,35235,10486,1200,66.02,77.11,,52.8,13.0,0.0,0.0,11.7,0.0,4.15,1.13,0.75,0.0,6.79,2.64,0.0,1.13,0.0,0.0,3.77,0.0,0.0,18.49,1.13,0.0,0.0,0.0,0.0,0.0,2.64,0.0,8.68,0.0,0.0,9.06,0.0,0.0,0.0,0.0,12.08,3.4,10.94,1.51
Southwestern Assemblies of God University,southwestern-assemblies-of-god-university,Waxahachie,TX,USA,32.40443,-96.853492,https://www.sagu.edu/,Private Non-Profit,1366,1366,84.23,1014,20,18610,18610,9050,1406,35.53,81.25,,63.72,15.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,5.28,0.0,0.0,0.0,1.02,0.0,1.22,10.77,0.0,0.0,0.0,0.0,0.2,2.03,22.56,30.69,0.0,0.0,5.69,1.22,2.64,0.0,0.0,0.0,0.0,0.0,3.66,1.63,9.96,0.41
East Texas Baptist University,east-texas-baptist-university,Marshall,TX,USA,32.557847,-94.374488,https://www.etbu.edu/,Private Non-Profit,1364,1364,60.1,,,30050,30050,10629,1502,47.97,69.15,,53.07,15.0,0.0,0.0,0.0,0.0,3.41,0.0,0.0,0.0,8.71,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,3.03,0.0,0.0,18.56,7.95,0.38,4.17,1.14,0.0,2.65,5.3,0.0,1.14,0.0,0.0,0.0,0.0,1.52,21.59,18.56,1.14
University of Maine at Presque Isle,university-of-maine-at-presque-isle,Presque Isle,ME,USA,46.672285,-68.016343,https://www.umpi.edu/,Public,1362,1362,97.09,,,8990,14270,10300,900,37.66,72.82,10028,25.37,28.0,0.53,1.59,0.0,0.0,0.0,0.0,0.53,0.0,5.84,0.0,0.0,0.0,0.0,0.0,1.86,34.75,0.0,0.8,0.53,0.0,1.33,1.86,0.0,0.0,0.0,0.0,3.45,0.0,1.86,5.31,0.0,0.0,0.0,0.0,0.53,2.39,36.87,0.0
Queens University of Charlotte,queens-university-of-charlotte,Charlotte,NC,USA,35.189051,-80.833509,https://www.queens.edu/,Private Non-Profit,1362,1362,67.68,1223,24,43285,43285,16488,2000,65.88,75.84,,44.5,9.0,0.0,0.26,0.0,0.0,5.77,0.0,0.0,0.0,1.31,0.0,0.0,1.05,0.0,0.0,2.62,0.0,0.0,14.7,1.05,0.0,0.0,4.46,0.0,0.0,1.31,0.0,4.99,0.0,3.41,2.89,0.0,0.0,0.0,0.0,3.67,29.92,21.52,1.05
University of Arkansas for Medical Sciences,university-of-arkansas-for-medical-sciences,Little Rock,AR,USA,34.750152,-92.322348,https://www.uams.edu/,Public,1361,1361,,,,,,,,,,,35.72,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
